"","site_code","species","LAT_geogr","LON_geogr","grate20","ddif","tea","ph","Pmeh","Ptot","N","Mg","K","Ca","C","CN","NPtot","NPmeh","PC1","PC2","PC3","twi","cwb"
"93","P000245PCAB","PCAB",50.7567517394,15.5124417589,-0.947127330619323,0.185821635818735,-0.0546028891079036,0.478325063013591,-0.985861629620628,0.0514947024669216,0.620789571158159,0.156094056910049,0.454882135554444,-0.513944002078329,0.0276858906532229,-0.871852815582353,0.263557483311937,1.24930955161134,-0.68203924701811,-0.0458143560818756,-0.654493836034698,-0.711062493743097,1.33100215425003
"94","P000247PCAB","PCAB",50.7703705443,15.5609044351,-0.835650270969541,-0.10747480780212,-0.189704826896197,0.437062785999182,-0.223838433913817,0.204918914372291,0.122702659837796,-0.64268135660418,-0.139704965320059,-0.446931848795352,-0.550646532733747,-1.09176816183933,-0.214719937670488,-0.0227066910996232,0.0994425350460711,0.492118510728435,-1.00729213535672,0.833902641231053,1.58483053263384
"95","P000248PCAB","PCAB",50.5400985987,13.2818958958,-0.751698298326572,-0.282760553194482,-0.323070051804597,1.54686885583949,-0.590440117292441,-0.493902982800983,-0.604473611848028,2.3907207736184,1.26875590495697,1.2127999994961,-0.302411448618611,0.44245469280931,-0.0705468134489182,0.119434422199536,2.09251624362501,-1.56726786787047,0.641921005263784,0.728902605476839,-0.803158758931945
"96","P000251PCAB","PCAB",50.740154599,15.6773642558,-0.230549077270799,0.0871829539689782,-0.11953502154219,0.609248038055805,-0.969937012682395,-0.138062894465593,0.543639791788922,-0.422024197753435,-0.163520394779732,-0.257509364500331,-0.306690664325615,-1.27815739787502,0.399150154097237,1.18337595100617,-0.747599324940802,-0.240518219583635,-1.0360795444608,0.0929205462322123,1.14291864673013
"97","P000257PCAB","PCAB",50.7803756511,15.5083468589,0.275640664094952,0.20434515004023,0.157105048780431,0.699271025478524,-1.30048754599503,-0.0635645583353942,0.204260486843796,-0.509481679289138,0.278759270364318,-0.615339856856182,-1.0007863230249,-1.91756300313007,0.0878992366084106,1.73865407194248,-0.618259719346686,-0.202976509403601,-2.16255083535352,1.50778711016062,1.57647342298046
"98","P000258PCAB","PCAB",50.7569490684,15.5534778646,0.185639734327004,-0.571609123407742,-0.0135241273696051,0.700076833685361,0.678926719810745,0.620947766318126,0.550478812114835,0.0606606650208878,2.21015734384794,0.517541151016033,0.131880075628831,-0.617925116055518,-0.290382878686309,-0.615923554480706,1.52855568620905,1.20292962753684,0.606784562249301,-1.26082457969628,1.49337644324874
"99","P000847PCAB","PCAB",49.5677407698,15.9912379072,-0.0103269658853997,1.18275309924442,0.0437545265265391,-0.570857593716814,-1.73050363227777,-0.901381977310667,-0.570701559302911,-0.329483004494296,0.253831885951514,0.544869484233388,-0.122361589098499,0.697571645804204,0.395738853216041,2.6037140929294,-1.42073477297484,-2.29806358277,-1.09535316209217,1.28655640429113,-1.41943580422905
"100","P800001PCAB","PCAB",49.0040163355,13.7322916897,0.409809818547355,-2.83114050898103,0.239151245441605,0.116047286394754,0.0898854205351918,2.37861204452639,-0.924221226331309,-0.467810865364614,0.752360918532665,-0.151189846438994,-0.942047129889601,-0.150596993547155,-2.18765298939599,-0.635710018777268,1.82616363613739,1.99816324174947,-1.99545960320778,0.232266462518979,-0.43959017142637
"101","P800008PCAB","PCAB",48.9638445225,13.8149193479,0.483574434029753,-1.54425868282784,-0.218512046296851,0.311816695407876,0.733684194861744,2.43741013241207,-0.762201196119236,-0.445662859682041,0.279704942205068,0.079514507886755,-0.901631033874404,-0.348216319009125,-2.13233428334993,-0.989591056316891,2.22597799668256,2.20546015148372,-1.5357061871763,1.43547809757397,-0.546282661704374
"102","P800010PCAB","PCAB",48.9590549919,13.7958691191,0.482160098651371,0.0562820086820409,-0.302394255159349,1.25281869141305,3.66707285037577,1.74031702670032,-0.328823475925357,2.00163407488963,3.09573700574316,0.874509532855672,0.161238687543531,0.769617589320139,-1.55945999841102,-1.80739524412384,4.61648209245352,2.42097920134846,2.39409066946539,-1.5302896156553,-0.531391440267545
"103","P800019PCAB","PCAB",49.0089226208,13.8882016872,1.17963919469648,1.77866186262478,-0.120854885016632,-0.307696009176014,-0.547017433532109,-0.250509690339907,-0.909910944208841,0.576472820928455,0.89414096951024,0.941018888595449,0.031827489037885,1.58815770247901,-0.524390147333069,-0.0496928495446703,0.819088908251749,-1.197175560274,0.232430552180511,-0.821653142148084,-1.09624081681559
